 BEM Solution on the Boundary:
   	Node	  Potential        Normal Derivative
         1      0.10000000E+01      0.45900706E+01
         2      0.10000000E+01      0.46230914E+01
         3      0.10000000E+01      0.46739578E+01
         4      0.10000000E+01      0.47191600E+01
         5      0.10000000E+01      0.47368087E+01
         6      0.10000000E+01      0.47180976E+01
         7      0.10000000E+01      0.46723481E+01
         8      0.10000000E+01      0.46216940E+01
         9      0.10000000E+01      0.45895236E+01
        10      0.10000000E+01      0.45900706E+01
        11      0.10000000E+01      0.46230914E+01
        12      0.10000000E+01      0.46739578E+01
        13      0.10000000E+01      0.47191600E+01
        14      0.10000000E+01      0.47368087E+01
        15      0.10000000E+01      0.47180976E+01
        16      0.10000000E+01      0.46723481E+01
        17      0.10000000E+01      0.46216940E+01
        18      0.10000000E+01      0.45895236E+01
        19      0.10000000E+01      0.45900706E+01
        20      0.10000000E+01      0.46230914E+01
        21      0.10000000E+01      0.46739578E+01
        22      0.10000000E+01      0.47191600E+01
        23      0.10000000E+01      0.47368087E+01
        24      0.10000000E+01      0.47180976E+01
        25      0.10000000E+01      0.46723481E+01
        26      0.10000000E+01      0.46216940E+01
        27      0.10000000E+01      0.45895236E+01
        28      0.10000000E+01      0.45900706E+01
        29      0.10000000E+01      0.46230914E+01
        30      0.10000000E+01      0.46739578E+01
        31      0.10000000E+01      0.47191600E+01
        32      0.10000000E+01      0.47368087E+01
        33      0.10000000E+01      0.47180976E+01
        34      0.10000000E+01      0.46723481E+01
        35      0.10000000E+01      0.46216940E+01
        36      0.10000000E+01      0.45895236E+01
        37      0.10000000E+01      0.43184623E+01
        38      0.10000000E+01      0.44475562E+01
        39      0.10000000E+01      0.44627386E+01
        40      0.10000000E+01      0.46895531E+01
        41      0.10000000E+01      0.49791503E+01
        42      0.10000000E+01      0.51478837E+01
        43      0.10000000E+01      0.50626358E+01
        44      0.10000000E+01      0.48124519E+01
        45      0.10000000E+01      0.45540515E+01
        46      0.10000000E+01      0.44109978E+01
        47      0.10000000E+01      0.43648928E+01
        48      0.10000000E+01      0.44748881E+01
        49      0.10000000E+01      0.47099122E+01
        50      0.10000000E+01      0.50135431E+01
        51      0.10000000E+01      0.51635885E+01
        52      0.10000000E+01      0.50536136E+01
        53      0.10000000E+01      0.48251635E+01
        54      0.10000000E+01      0.45484116E+01
        55      0.10000000E+01      0.43917052E+01
        56      0.10000000E+01      0.43667205E+01
